colony,customary_court_cases_pct,rule_type,bureaucratic_effectiveness_score
Bahamas,0.0,Direct,7.4
Barbados,0.0,Direct,7.5
Belize,2.1,Direct,5.8
Botswana,78.4,Indirect,6.2
Cyprus,0.0,Direct,6.9
Fiji,62.1,Indirect,4.5
Gambia,84.5,Indirect,2.9
Ghana,67.8,Indirect,3.8
Guyana,0.0,Direct,4.7
Hong Kong,0.0,Direct,8.6
Jamaica,0.0,Direct,5.4
Kenya,42.6,Mixed,4.1
Lesotho,89.2,Indirect,3.2
Malawi,74.3,Indirect,2.8
Malaysia,31.5,Mixed,6.7
Malta,0.0,Direct,7.3
Mauritius,0.0,Direct,7.1
Nigeria,82.3,Indirect,2.4
Papua New Guinea,69.4,Indirect,3.0
Seychelles,0.0,Direct,6.1
Sierra Leone,88.7,Indirect,2.1
Singapore,0.0,Direct,9.1
Solomon Islands,76.5,Indirect,2.7
Sri Lanka,4.2,Direct,5.3
Sudan,79.1,Indirect,2.0
Swaziland,86.4,Indirect,3.5
Tanzania,65.0,Indirect,3.4
Tonga,91.0,Indirect,4.0
Trinidad and Tobago,0.0,Direct,6.2
Uganda,78.9,Indirect,2.6
Vanuatu,55.4,Mixed,3.3
Zambia,61.2,Indirect,3.1
Zimbabwe,38.0,Mixed,3.9
