colony,indirect_rule_share_pct,postcolonial_bureaucracy_score,rule_type
Nigeria (Northern),88.0,2.1,Indirect
Uganda (Buganda),76.0,2.4,Indirect
Ghana (Ashanti),68.0,3.0,Indirect
Sierra Leone (Protectorate),82.0,2.2,Indirect
Tanganyika,62.0,3.1,Indirect
Kenya,45.0,3.8,Mixed
Zambia (Northern Rhodesia),58.0,2.8,Indirect
Malawi (Nyasaland),70.0,2.5,Indirect
Sudan,74.0,2.3,Indirect
Mauritius,5.0,6.8,Direct
Barbados,2.0,7.2,Direct
Jamaica,8.0,5.9,Direct
Trinidad and Tobago,4.0,6.4,Direct
Guyana,12.0,5.1,Direct
Cyprus,15.0,6.5,Direct
Sri Lanka (Ceylon),18.0,5.8,Direct
Singapore / Malaya Straits,10.0,7.9,Direct
Hong Kong,6.0,8.2,Direct
