case,era,nri,hvf,cis,outcome_bo,source,colony
Northern Nigeria (1960),Colonial Africa,1,1,1,1,Lange (2009),
,Colonial Africa,1,1,1,1,Apter (1961),Buganda / Uganda (1966)
Tang Annam / Vietnam (938),Imperial China,1,1,1,1,Taylor (1983),
Yuan China / Red Turbans (1368),Imperial China,1,1,1,1,Dardess (1994),
French Morocco (1956),French Maghreb,1,1,0,1,Gershovich (2000),
French Tunisia (1956),French Maghreb,1,0,0,0,Perkins (2004),
SCAP Japan (1952),Post-WWII,1,0,0,0,Dower (1999),
Cambodia UNTAC (1993),UN Post-Cold War,1,0,0,0,Findlay (1995),
East Timor UNTAET (2002),UN Post-Cold War,0,0,0,0,Chesterman (2004),
British Mauritius (1968),Colonial Direct,0,0,0,0,Lange (2004),
British Barbados (1966),Colonial Direct,0,0,0,0,Lange (2004),
British Hong Kong (1997),Colonial Direct,0,0,1,0,Tsang (2004),
Bosnia OHR (Active),UN Post-Cold War,0,1,1,1,Bieber (2006),
Kosovo UNMIK (Active),UN Post-Cold War,0,1,1,1,Weller (2009),
Rome - Judaea (6/66 CE),Roman Empire,1,1,1,1,"Braund (1984), Josephus",
Rome - Mauretania (40 CE),Roman Empire,1,1,1,1,"Braund (1984), Tacitus",
Rome - Commagene (72 CE),Roman Empire,1,0,0,0,"Braund (1984), Suetonius",
Rome - Nabataea (106 CE),Roman Empire,1,0,0,0,"Braund (1984), Bowersock (1983)",
Rome - Thrace (46 CE),Roman Empire,1,1,0,1,Braund (1984),
India - Hyderabad (1948),Decolonization,1,1,1,1,"Menon (1956), Copland (1997)",
India - Junagadh (1947),Decolonization,1,1,1,1,"Menon (1956), Copland (1997)",
India - Kashmir (1947),Decolonization,1,1,1,1,"Menon (1956), Copland (1997)",
India - Travancore (1947),Decolonization,1,0,0,0,"Menon (1956), Copland (1997)",
India - Mysore/Baroda (1947),Decolonization,1,0,0,0,"Menon (1956), Copland (1997)",
