year,total_records,published_records,rejected_records,rejected_rate_pct,distinct_cnas,mitre_published_count,mitre_direct_share_pct,top10_concentration_pct,hhi
1999,1579,1540,39,2.47,1,1540,100.0,100.0,10000.0
2000,1243,1236,7,0.56,1,1236,100.0,100.0,10000.0
2001,1556,1537,19,1.22,1,1537,100.0,100.0,10000.0
2002,2393,2357,36,1.5,2,2353,99.83,100.0,9966.12
2003,1555,1504,51,3.28,4,1494,99.34,100.0,9867.67
2004,2707,2644,63,2.33,3,2639,99.81,100.0,9962.24
2005,4770,4627,143,3.0,9,4178,90.3,100.0,8192.1
2006,7145,6995,150,2.1,12,6447,92.17,99.97,8513.87
2007,6580,6458,122,1.85,10,5960,92.29,100.0,8535.95
2008,7179,7005,174,2.42,12,6330,90.36,99.97,8188.69
2009,5054,4921,133,2.63,18,4057,82.44,99.63,6868.03
2010,5249,5074,175,3.33,20,2944,58.02,97.97,3653.62
2011,4899,4646,253,5.16,22,2034,43.78,95.31,2428.19
2012,5939,5488,451,7.59,23,1941,35.37,91.27,1954.68
2013,6830,6221,609,8.92,28,1799,28.92,87.08,1487.94
2014,9002,8427,575,6.39,30,3061,36.32,88.19,1826.6
2015,8779,8111,668,7.61,37,2802,34.55,83.73,1515.07
2016,10647,9367,1280,12.02,53,2696,28.78,77.92,1151.02
2017,17105,14762,2343,13.7,83,6214,42.09,74.12,1925.75
2018,17817,16188,1629,9.14,92,7999,49.41,75.63,2548.31
2019,17623,16096,1527,8.66,107,6677,41.48,71.81,1854.04
2020,21074,19391,1683,7.99,137,7362,37.97,66.72,1578.15
2021,23461,22595,866,3.69,177,6066,26.85,56.78,870.34
2022,27538,26433,1105,4.01,213,6715,25.4,57.98,832.34
2023,31401,30607,794,2.53,266,5875,19.19,57.27,600.79
2024,39232,38444,788,2.01,311,6137,15.96,67.28,671.41
2025,45209,43426,1783,3.94,368,4762,10.97,69.13,758.76
2026,51958,51151,807,1.55,350,1811,3.54,69.84,674.3
